point_id,patch_label,patch_source,center_sigma,center_rho,center_beta,center_nucleus,sigma,rho,beta
P0227,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.5,2.4464500000000005
P0228,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.5,2.475
P0229,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.5,2.5035499999999997
P0230,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.5,2.5321
P0231,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.75,2.4179000000000004
P0232,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.75,2.4464500000000005
P0233,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.75,2.475
P0234,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.75,2.5035499999999997
P0235,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,104.75,2.5321
P0236,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.0,2.4179000000000004
P0237,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.0,2.4464500000000005
P0238,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.0,2.475
P0239,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.0,2.5035499999999997
P0240,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.0,2.5321
P0241,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.25,2.4179000000000004
P0242,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.25,2.4464500000000005
P0243,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.25,2.475
P0244,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.25,2.5035499999999997
P0245,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.25,2.5321
P0246,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.5,2.4179000000000004
P0247,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.5,2.4464500000000005
P0248,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.5,2.475
P0249,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.5,2.5035499999999997
P0250,POS_BEST,best_positive_B,10.65,105.0,2.475,NEG3,10.746699999999999,105.5,2.5321
P0251,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.5,2.4179000000000004
P0252,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.5,2.4464500000000005
P0253,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.5,2.475
P0254,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.5,2.5035499999999997
P0255,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.5,2.5321
P0256,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.75,2.4179000000000004
P0257,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.75,2.4464500000000005
P0258,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.75,2.475
P0259,NEG_NEG1,preferred_negative_NEG1,9.55,99.0,2.475,NEG1,9.453300000000002,98.75,2.5035499999999997
